agent_id,round_number,contribution,prop_of_wealth,wealth_eor,is_zero,reputation,shock_occurred,ldf_payout_round,evidence_id,contribution_reasoning
14,7,3000000.0,0.1483061895710158,20228420.73333333,False,5.0,0,0.0,RB-07-A14-contribution,Maximizing my payoff requires a balance between contributing to emissions reduction and maintaining a high cumulative payoff.
18,4,3164053.0,0.351376222325116,9004744.200000001,False,4.44,0,0.0,RB-04-A18-contribution,Choosing a contribution amount slightly above the previous round's group average to maintain consistency and cooperation.
18,5,4502370.0,0.4074927492404109,11048957.333333336,False,5.48,1,0.0,RB-05-A18-contribution,"Maximizing cumulative payoff requires a balance between current contribution and future Stage 2 budget, considering the MCPR of 0.1333."
18,6,5000000.0,0.364857315079525,13703987.26666667,False,5.12,0,0.0,RB-06-A18-contribution,"The marginal return to me per unit contributed is high, and I am a member of SI institution with a history of cooperative behavior."
18,7,0.0,0.0,26009077.73333333,True,5.0,0,0.0,RB-07-A18-contribution,Contribution of zero maximizes my payoff due to high marginal return and low vulnerability index.
19,4,10000000.0,1.3663240099117515,7318908.199999999,False,1.0,0,0.0,RB-04-A19-contribution,I'm choosing to contribute a significant amount due to high marginal return and the institution's history of contributing.
19,5,0.0,0.0,13863695.333333332,True,8.0,1,0.0,RB-05-A19-contribution,"My cumulative payoff is already high, and contributing nothing maximizes my current payoff."
19,6,0.0,0.0,21504470.266666666,True,1.0,0,0.0,RB-06-A19-contribution,"No contribution maximizes my current payoff, given the high marginal return to me per unit contributed and the lack of consistent cooperation from peers."
19,7,0.0,0.0,33775501.733333334,True,1.0,0,0.0,RB-07-A19-contribution,I choose to contribute nothing because my marginal return per unit contributed is low and I prioritize maximizing my payoff.
20,4,1000000.0,0.0667106636835792,14990107.2,False,5.24,0,0.0,RB-04-A20-contribution,"I chose to contribute a moderate amount, balancing between cooperation and self-interest."
20,5,3000000.0,0.1618431707306985,18536463.33333333,False,5.0,1,0.0,RB-05-A20-contribution,Following the high-contributor strategy to maximize cumulative payoff.
20,6,3000000.0,0.1293927196536448,23185230.266666666,False,5.0,0,0.0,RB-06-A20-contribution,"Contributing this amount balances self-interest with cooperation, given the high marginal return and group size."
20,7,4000000.0,0.1270030777248506,31495299.73333333,False,5.0,0,0.0,RB-07-A20-contribution,Contributing a significant amount aligns with my institution's SI strategy and maximizes my payoff.
21,4,8000000.0,0.8598745988980578,9303682.2,False,1.0,0,0.0,RB-04-A21-contribution,"To maximize my cumulative payoff, I will contribute a moderate amount that balances self-interest and cooperation."
21,5,2000000.0,0.1444039428822719,13850037.333333332,False,5.0,1,0.0,RB-05-A21-contribution,"Following my past contributions and considering the marginal return to me per unit contributed, I choose a moderate contribution."
21,6,4284682.0,0.2488402910783691,17218602.266666666,False,5.0,0,0.0,RB-06-A21-contribution,Contribute a significant amount to align with previous round's group average contribution and maximize cumulative payoff.
21,7,10000000.0,0.511897240956116,19535170.73333333,False,5.0,0,0.0,RB-07-A21-contribution,Contributing 10 billion maximizes my payoff based on MCPR and previous-round peer data.
22,4,4000000.0,0.2760799207750016,14488558.2,False,1.0,0,0.0,RB-04-A22-contribution,"Given my institution's history of cooperation and the current high marginal return, I choose to contribute a significant amount to maintain credibility and support long-run climate stability."
22,5,10000000.0,0.9062014993405876,11035073.333333332,False,3.96,1,0.0,RB-05-A22-contribution,Maximizing cumulative payoff requires a high contribution to maximize MCPR.
22,6,10000000.0,1.151182326797194,8686721.266666666,False,5.0,0,0.0,RB-06-A22-contribution,Maximizing my contribution to achieve a higher cumulative payoff while considering the marginal return and group multiplier.
22,7,6000000.0,0.3997733089893301,15008505.733333332,False,7.04,0,0.0,RB-07-A22-contribution,"Based on my institution's typical strategy and past contributions, I choose a moderate contribution to maintain credibility and support emissions reduction."
24,4,4000000.0,0.4292233636749898,9319157.2,False,5.48,0,0.0,RB-04-A24-contribution,"To maximize my cumulative payoff, I will contribute a high amount to take advantage of the MCPR and set a precedent for future contributions."
24,5,5000000.0,0.4601579452266636,10865834.333333332,False,3.72,1,0.0,RB-05-A24-contribution,"Given my institution's (SI) history of high contributions and the current MCPR, I choose to contribute $5 billion to maximize my cumulative payoff."
24,6,4011955.0,0.2765883291680156,14505149.266666666,False,4.76,0,0.0,RB-06-A24-contribution,"The previous round's group average contribution was around $4 billion, and contributing a similar amount aligns with my institution's strategy of following the SI strategy."
24,7,10000000.0,0.5945700273895818,16818876.733333334,False,4.92,0,0.0,RB-07-A24-contribution,"Given my institution's SI strategy and the high marginal return to me per unit contributed, I choose a significant contribution to maximize my payoff."
25,4,5000000.0,0.8072214417646558,6194087.2,False,5.36,0,0.0,RB-04-A25-contribution,Maximizing cumulative payoff requires contributing as much as possible within the allowed budget.
25,5,0.0,0.0,12737383.333333334,True,5.12,1,0.0,RB-05-A25-contribution,"My cumulative payoff is already high, and contributing would reduce my Stage 2 budget without significant marginal return."
25,6,10000000.0,0.9632868023851288,10381124.266666668,False,1.0,0,0.0,RB-06-A25-contribution,"Maximizing my cumulative payoff requires a balance between Stage 1 and Stage 2 budgets, and contributing 10 billion dollars aligns with this goal."
25,7,10381124.0,0.8432139008379842,12311376.733333334,False,5.0,0,0.0,RB-07-A25-contribution,Maximizing my cumulative payoff requires contributing the maximum allowed amount to maximize MCPR.
