evidence_id,run,source_file,round_number,agent_id,agent_group,institution_choice,kind,action,contribution,reputation,shock_occurred,proposal_round,source_path,text,text_length
RB-01-A2-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,2,developing,SFI,institution,institution_choice=SFI,20000.0,5.0,0,0,rounds[1].agents[2].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A2-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,2,developing,SFI,contribution,contribution=20000.0,20000.0,5.0,0,0,rounds[1].agents[2].contribution_reasoning,I'm starting with a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,116
RB-01-A2-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,2,developing,SFI,belief_strategy,institution_choice=SFI,20000.0,5.0,0,0,rounds[1].agents[2].belief_state.institutional_strategy,"Most peers follow SI, but some deviate.",39
RB-01-A2-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,2,developing,SFI,belief_observations,institution_choice=SFI,20000.0,5.0,0,0,rounds[1].agents[2].belief_state.observations,High contributions from Agent 4 and 24; low contributions from several agents.,78
RB-01-A3-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,3,developing,SFI,institution,institution_choice=SFI,500000.0,5.0,0,0,rounds[1].agents[3].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A3-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,3,developing,SFI,contribution,contribution=500000.0,500000.0,5.0,0,0,rounds[1].agents[3].contribution_reasoning,I'm starting with a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,116
RB-01-A3-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,3,developing,SFI,belief_strategy,institution_choice=SFI,500000.0,5.0,0,0,rounds[1].agents[3].belief_state.institutional_strategy,Most peers follow SI strategy.,30
RB-01-A3-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,3,developing,SFI,belief_observations,institution_choice=SFI,500000.0,5.0,0,0,rounds[1].agents[3].belief_state.observations,Low contributions from some SFI agents.,39
RB-01-A4-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,institution,institution_choice=SI,20000000.0,5.0,0,0,rounds[1].agents[4].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A4-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,contribution,contribution=20000000.0,20000000.0,5.0,0,0,rounds[1].agents[4].contribution_reasoning,Maximizing my cumulative payoff requires a significant contribution to take advantage of the high MCPR.,103
RB-01-A4-punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,punishment,assigned_punish_total=1700.0,20000000.0,5.0,0,0,rounds[1].agents[4].punishment_reasoning,"Punished free-riders who contributed below the group average, while rewarding a generous contributor to incentivize cooperation.",128
RB-01-A4-deanonymized_punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,deanonymized_punishment,assigned_punish_total=1700.0,20000000.0,5.0,0,0,rounds[1].agents[4].deanonymized_punishment_reasoning,"Punished free-riders who contributed below the group average, while rewarding a generous contributor to incentivize cooperation.",128
RB-01-A4-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,belief_strategy,institution_choice=SI,20000000.0,5.0,0,0,rounds[1].agents[4].belief_state.institutional_strategy,Most peers follow SI strategy.,30
RB-01-A4-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,4,developed,SI,belief_observations,institution_choice=SI,20000000.0,5.0,0,0,rounds[1].agents[4].belief_state.observations,High-contributors deviated from expected behavior.,50
RB-01-A5-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,5,developing,SFI,institution,institution_choice=SFI,2000.0,5.0,0,0,rounds[1].agents[5].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A5-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,5,developing,SFI,contribution,contribution=2000.0,2000.0,5.0,0,0,rounds[1].agents[5].contribution_reasoning,I'm choosing a moderate contribution to balance immediate resilience needs with long-run cooperation incentives.,112
RB-01-A5-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,5,developing,SFI,belief_strategy,institution_choice=SFI,2000.0,5.0,0,0,rounds[1].agents[5].belief_state.institutional_strategy,"Most peers follow SI, but some deviate to SFI.",46
RB-01-A5-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,5,developing,SFI,belief_observations,institution_choice=SFI,2000.0,5.0,0,0,rounds[1].agents[5].belief_state.observations,"High contributions from Agent 4 and 24, low contributions from Agents 14, 19, 25, 16, 10, 0, and 11.",100
RB-01-A6-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,institution,institution_choice=SI,1580000.0,5.0,0,0,rounds[1].agents[6].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A6-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,contribution,contribution=1580000.0,1580000.0,5.0,0,0,rounds[1].agents[6].contribution_reasoning,"I'm choosing to contribute the maximum possible amount within my Stage 2 budget, as it will provide a significant return on investment and maximize my cumulative payoff.",169
RB-01-A6-punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,punishment,assigned_punish_total=12.0,1580000.0,5.0,0,0,rounds[1].agents[6].punishment_reasoning,Punishing free-riders and those who contributed the least to maintain fairness and encourage future cooperation.,112
RB-01-A6-deanonymized_punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,deanonymized_punishment,assigned_punish_total=12.0,1580000.0,5.0,0,0,rounds[1].agents[6].deanonymized_punishment_reasoning,Punishing free-riders and those who contributed the least to maintain fairness and encourage future cooperation.,112
RB-01-A6-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,belief_strategy,institution_choice=SI,1580000.0,5.0,0,0,rounds[1].agents[6].belief_state.institutional_strategy,Most agents follow the SI strategy.,35
RB-01-A6-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,6,developed,SI,belief_observations,institution_choice=SI,1580000.0,5.0,0,0,rounds[1].agents[6].belief_state.observations,Low contributors are mostly from SFI.,37
RB-01-A7-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,institution,institution_choice=SI,1750000.0,5.0,0,0,rounds[1].agents[7].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A7-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,contribution,contribution=1750000.0,1750000.0,5.0,0,0,rounds[1].agents[7].contribution_reasoning,"Maximizing my cumulative payoff requires contributing as much as possible, given the high MCPR and large contribution budget.",125
RB-01-A7-punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,punishment,assigned_punish_total=264.0,1750000.0,5.0,0,0,rounds[1].agents[7].punishment_reasoning,Punishing free-riders who contributed below the group average and have no strong justification for their actions.,113
RB-01-A7-deanonymized_punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,deanonymized_punishment,assigned_punish_total=264.0,1750000.0,5.0,0,0,rounds[1].agents[7].deanonymized_punishment_reasoning,Punishing free-riders who contributed below the group average and have no strong justification for their actions.,113
RB-01-A7-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,belief_strategy,institution_choice=SI,1750000.0,5.0,0,0,rounds[1].agents[7].belief_state.institutional_strategy,Most agents follow the SI strategy.,35
RB-01-A7-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,7,developed,SI,belief_observations,institution_choice=SI,1750000.0,5.0,0,0,rounds[1].agents[7].belief_state.observations,Low contributors are mostly from SFI.,37
RB-01-A8-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,8,developing,SFI,institution,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[8].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A8-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,8,developing,SFI,contribution,contribution=10000.0,10000.0,5.0,0,0,rounds[1].agents[8].contribution_reasoning,I'm starting with a moderate contribution to test the waters and understand the dynamics of the game.,101
RB-01-A8-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,8,developing,SFI,belief_strategy,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[8].belief_state.institutional_strategy,"Most peers follow SI, but some deviate to SFI.",46
RB-01-A8-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,8,developing,SFI,belief_observations,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[8].belief_state.observations,High contributors are rewarded with high payoffs.,49
RB-01-A9-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,9,developing,SFI,institution,institution_choice=SFI,532700.0,5.0,0,0,rounds[1].agents[9].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A9-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,9,developing,SFI,contribution,contribution=532700.0,532700.0,5.0,0,0,rounds[1].agents[9].contribution_reasoning,"Maximizing my cumulative payoff requires contributing the maximum amount, given that I have no prior experience and no peer data to consider.",141
RB-01-A9-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,9,developing,SFI,belief_strategy,institution_choice=SFI,532700.0,5.0,0,0,rounds[1].agents[9].belief_state.institutional_strategy,"Most peers follow SI, but some deviate to SFI.",46
RB-01-A9-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,9,developing,SFI,belief_observations,institution_choice=SFI,532700.0,5.0,0,0,rounds[1].agents[9].belief_state.observations,"High contributors in SI, low contributors in SFI.",49
RB-01-A10-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,10,developing,SFI,institution,institution_choice=SFI,500.0,5.0,0,0,rounds[1].agents[10].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A10-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,10,developing,SFI,contribution,contribution=500.0,500.0,5.0,0,0,rounds[1].agents[10].contribution_reasoning,I'm starting with a moderate contribution to test the marginal return and understand the dynamics of the game.,110
RB-01-A10-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,10,developing,SFI,belief_strategy,institution_choice=SFI,500.0,5.0,0,0,rounds[1].agents[10].belief_state.institutional_strategy,"Most peers contribute moderately, except for some high and low contributors.",76
RB-01-A10-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,10,developing,SFI,belief_observations,institution_choice=SFI,500.0,5.0,0,0,rounds[1].agents[10].belief_state.observations,"High contributions from Agent 4 and 24, while Agent 14 and others contributed little.",85
RB-01-A11-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,11,developing,SFI,institution,institution_choice=SFI,1000.0,5.0,0,0,rounds[1].agents[11].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A11-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,11,developing,SFI,contribution,contribution=1000.0,1000.0,5.0,0,0,rounds[1].agents[11].contribution_reasoning,Contribute a moderate amount to balance immediate resilience needs with long-run cooperation incentives.,104
RB-01-A11-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,11,developing,SFI,belief_strategy,institution_choice=SFI,1000.0,5.0,0,0,rounds[1].agents[11].belief_state.institutional_strategy,High-contributors are rewarded in SI.,37
RB-01-A11-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,11,developing,SFI,belief_observations,institution_choice=SFI,1000.0,5.0,0,0,rounds[1].agents[11].belief_state.observations,Low contributors detected in SFI and SI.,40
RB-01-A12-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,12,developing,SFI,institution,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[12].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A12-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,12,developing,SFI,contribution,contribution=10000.0,10000.0,5.0,0,0,rounds[1].agents[12].contribution_reasoning,I'm starting with a small contribution to test the system and understand my institution's strategy.,99
RB-01-A12-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,12,developing,SFI,belief_strategy,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[12].belief_state.institutional_strategy,"Most peers in SI, some in SFI.",30
RB-01-A12-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,12,developing,SFI,belief_observations,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[12].belief_state.observations,High contributions from Agent 4 and 24.,39
RB-01-A13-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,13,developing,SFI,institution,institution_choice=SFI,2000000.0,5.0,0,0,rounds[1].agents[13].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A13-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,13,developing,SFI,contribution,contribution=2000000.0,2000000.0,5.0,0,0,rounds[1].agents[13].contribution_reasoning,"Maximizing my contribution to reduce global emissions and increase my MCPR, while also considering the LDF's role in disaster payouts.",134
RB-01-A13-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,13,developing,SFI,belief_strategy,institution_choice=SFI,2000000.0,5.0,0,0,rounds[1].agents[13].belief_state.institutional_strategy,"Most peers follow SI, but some defect or free-ride.",51
RB-01-A13-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,13,developing,SFI,belief_observations,institution_choice=SFI,2000000.0,5.0,0,0,rounds[1].agents[13].belief_state.observations,"High-contributors are mostly from SI, while low-contributors are scattered across institutions.",95
RB-01-A14-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,institution,institution_choice=SI,0.0,5.0,0,0,rounds[1].agents[14].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A14-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,contribution,contribution=0.0,0.0,5.0,0,0,rounds[1].agents[14].contribution_reasoning,"Given my institution's (SI) high fiscal capacity and historically higher emissions, I choose to contribute nothing this round to maintain flexibility for future rounds.",168
RB-01-A14-punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,punishment,assigned_punish_total=5.0,0.0,5.0,0,0,rounds[1].agents[14].punishment_reasoning,Punishing free-riders and rewarding cooperative agents to encourage responsible behavior and maximize my cumulative payoff.,123
RB-01-A14-deanonymized_punishment,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,deanonymized_punishment,assigned_punish_total=5.0,0.0,5.0,0,0,rounds[1].agents[14].deanonymized_punishment_reasoning,Punishing free-riders and rewarding cooperative agents to encourage responsible behavior and maximize my cumulative payoff.,123
RB-01-A14-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,belief_strategy,institution_choice=SI,0.0,5.0,0,0,rounds[1].agents[14].belief_state.institutional_strategy,Most peers are cooperative in SI institutions.,46
RB-01-A14-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,14,developed,SI,belief_observations,institution_choice=SI,0.0,5.0,0,0,rounds[1].agents[14].belief_state.observations,Low contributors were mostly found in SFI institutions.,55
RB-01-A15-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,15,developing,SFI,institution,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[15].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A15-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,15,developing,SFI,contribution,contribution=10000.0,10000.0,5.0,0,0,rounds[1].agents[15].contribution_reasoning,I'm choosing a moderate contribution to balance immediate resilience needs with long-run cooperation incentives.,112
RB-01-A15-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,15,developing,SFI,belief_strategy,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[15].belief_state.institutional_strategy,Most peers follow the SI strategy.,34
RB-01-A15-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,15,developing,SFI,belief_observations,institution_choice=SFI,10000.0,5.0,0,0,rounds[1].agents[15].belief_state.observations,"High contributors are mostly from SI, while SFI agents have lower contributions.",80
RB-01-A16-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,16,developing,SFI,institution,institution_choice=SFI,300.0,5.0,0,0,rounds[1].agents[16].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A16-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,16,developing,SFI,contribution,contribution=300.0,300.0,5.0,0,0,rounds[1].agents[16].contribution_reasoning,"Contribute a moderate amount to balance immediate needs with long-run cooperation incentives, given my institution's developing country status.",143
RB-01-A16-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,16,developing,SFI,belief_strategy,institution_choice=SFI,300.0,5.0,0,0,rounds[1].agents[16].belief_state.institutional_strategy,"Most peers in SI, some in SFI.",30
RB-01-A16-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,16,developing,SFI,belief_observations,institution_choice=SFI,300.0,5.0,0,0,rounds[1].agents[16].belief_state.observations,"High contrib from 4 and 24, low contrib from others.",52
RB-01-A17-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,17,developing,SFI,institution,institution_choice=SFI,25410.0,5.0,0,0,rounds[1].agents[17].institution_reasoning,Climate/LDF mode defaults developing countries to the non-binding agreement.,76
RB-01-A17-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,17,developing,SFI,contribution,contribution=25410.0,25410.0,5.0,0,0,rounds[1].agents[17].contribution_reasoning,Maximizing my cumulative payoff requires contributing the maximum amount to take advantage of the high MCPR.,108
RB-01-A17-belief_strategy,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,17,developing,SFI,belief_strategy,institution_choice=SFI,25410.0,5.0,0,0,rounds[1].agents[17].belief_state.institutional_strategy,"Most peers follow SI, except Agent 17 and some SFI agents.",58
RB-01-A17-belief_observations,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,17,developing,SFI,belief_observations,institution_choice=SFI,25410.0,5.0,0,0,rounds[1].agents[17].belief_state.observations,"Agent 17 had a high contribution in SFI, while others contributed little or nothing.",84
RB-01-A18-institution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,18,developed,SI,institution,institution_choice=SI,1200000.0,5.0,0,0,rounds[1].agents[18].institution_reasoning,Climate/LDF mode defaults developed countries to the binding treaty.,68
RB-01-A18-contribution,20260804_024555,results/simulation_llama3.1_8b_Full_scnldf_sh1_ldf1_seed2_26agents_30rounds_20260804_024555.json,1,18,developed,SI,contribution,contribution=1200000.0,1200000.0,5.0,0,0,rounds[1].agents[18].contribution_reasoning,"Maximizing my cumulative payoff requires contributing enough to earn a significant MCPR, but not so much that I'm left with insufficient funds for Stage 2.",155
