agent_id,institution_choice,r1_contribution,r1_prop,r1_zero,r2_contribution,r2_prop,r2_zero,delta_prop,doubled_or_more,r1_reasoning,r2_reasoning,r1_evidence_id,r2_evidence_id
15,SFI,1000.0,0.1391096979332273,False,0.0,0.0,True,-0.1391096979332273,False,Begin with a moderate contribution to explore potential returns and avoid free-riding.,"Given SFI's history of low contributions, I choose to conserve wealth and follow the institution's apparent strategy.",RB-01-A15-contribution,RB-02-A15-contribution
16,SI,1200000.0,0.5192738589750284,False,1200000.0,0.271013461615046,False,-0.2482603973599824,False,Maximize cumulative payoff by contributing a substantial amount while considering future Stage 2 budget and institutional strategy.,I have chosen to contribute a moderate amount based on the previous round's group average contribution and my institution's typical behavior.,RB-01-A16-contribution,RB-02-A16-contribution
17,SFI,0.0,0.0,True,1000.0,0.0023573354081477,False,0.0023573354081477,False,"In this first round with no prior contributions, I choose to contribute nothing to observe group behavior and maintain maximum flexibility for future rounds.",Matching Agent 1's contribution to balance individual and group interests.,RB-01-A17-contribution,RB-02-A17-contribution
18,SFI,11800.0,0.1086670525706467,False,11800.0,0.0826864569593967,False,-0.02598059561124999,False,"Maximizing my cumulative payoff requires a balance between immediate resilience needs and long-run cooperation incentives, so I choose a contribution that is substantial but not excessive.","I'll contribute a moderate amount to maintain cooperation and balance my budget, given past observations.",RB-01-A18-contribution,RB-02-A18-contribution
19,SFI,0.0,0.0,True,1069.0,0.0050871145421318,False,0.0050871145421318,False,"Contributing nothing allows me to conserve resources and observe the behavior of other agents, without immediately committing to a cooperative action.",Focusing on a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,RB-01-A19-contribution,RB-02-A19-contribution
20,SFI,0.0,0.0,True,1069.0,0.0009243896230489,False,0.0009243896230489,False,Choosing a contribution of 0 allows me to conserve resources for future rounds and avoids any potential punishment effect.,Focusing on a moderate contribution to balance immediate resilience needs and long-run cooperation incentives.,RB-01-A20-contribution,RB-02-A20-contribution
21,SI,2000000.0,0.6750001434375306,False,2962962.0,0.8925916951657341,False,0.21759155172820355,False,"Initial contribution is a strategic starting point to maximize cumulative payoff, considering the MCPR and the fact that this is the first round.",Maximum contribution to maximize cumulative payoff.,RB-01-A21-contribution,RB-02-A21-contribution
22,SI,1210000.0,0.9503826926671824,False,1210000.0,0.3579806106656132,False,-0.5924020820015692,False,"To maximize my cumulative payoff, I contribute the maximum amount to take advantage of the high MCPR.","I'll contribute a significant amount to maximize my payoff, considering my institution's (SI) history of cooperation and the potential for long-term benefits.",RB-01-A22-contribution,RB-02-A22-contribution
23,SI,4000000.0,3.084051189081637,False,503863.0,0.1225941851523055,False,-2.9614570039293318,False,"To maximize my cumulative payoff, I contribute nearly the entire budget to take advantage of the high MCPR.","Given my institution's (SI) high average contribution and the MCPR of 0.1333, I will contribute a moderate amount to maintain consistency with past rounds.",RB-01-A23-contribution,RB-02-A23-contribution
24,SFI,0.0,0.0,True,0.0,0.0,True,0.0,False,"Choosing a contribution of 0 million USD, as I have no prior experience with this institution and need to explore options without committing significant funds.","Given SFI's history of moderate contribution and my own past behavior, I choose to conserve wealth this round.",RB-01-A24-contribution,RB-02-A24-contribution
25,SI,0.0,0.0,True,100000.0,0.0130904319327647,False,0.0130904319327647,False,"The marginal return to me per unit contributed (MCPR) is very low at 0.1333, and I have no prior experience with this institution or group, so I will start by contributing nothing.",I choose to contribute a moderate amount based on my institution's historical cooperation and high MCPR.,RB-01-A25-contribution,RB-02-A25-contribution
